age,bmisds_mean,se,lci,uci
2,.0127108,.0325443,-.0511152,.076536797
4,.019273199,.030110201,-.039775699,.078322001
6,.0035269,.030523499,-.056334399,.063388102
7,.042593099,.0304954,-.0172123,.1023986
11,.1035975,.0305495,.043686301,.1635087
15,.1071382,.0311173,.046110202,.1681661
20,.1411684,.031150799,.080076098,.2022606
26,.097483903,.029714501,.039211299,.1557565
36,.070022002,.0287806,.0135821,.12646189
43,.042775899,.028045001,-.0122203,.097772099
53,.0493076,.0274889,-.0045965002,.1032116
